player_id,player_name,position,total_goals,matches_played,goals_per_game
45191,MOHAMMAD ALDAOUD,Midfielder,0.0,1.0,0.0
201200,CRISTIANO RONALDO,Forward,3.0,5.0,0.6
229397,Lionel MESSI,Forward,8.0,8.0,1.0
241559,Luka MODRIC,Midfielder,0.0,4.0,0.0
269058,James RODRIGUEZ,Midfielder,0.0,5.0,0.0
269514,Anibal GODOY,Midfielder,0.0,1.0,0.0
271116,Alberto QUINTERO,Midfielder,0.0,1.0,0.0
274078,Chris WOOD,Forward,0.0,3.0,0.0
284190,HASSAN ALHAYDOS,Forward,1.0,2.0,0.5
290821,Axel WITSEL,Midfielder,0.0,2.0,0.0
299200,Marko ARNAUTOVIC,Forward,2.0,4.0,0.5
300409,Edin DZEKO,Forward,0.0,3.0,0.0
307849,SON Heungmin,Forward,0.0,3.0,0.0
308386,CASEMIRO,Midfielder,1.0,5.0,0.2
311558,Granit XHAKA,Midfielder,1.0,6.0,0.16666666666666666
314197,NEYMAR JR,Forward,1.0,2.0,0.5
321697,Mathew LECKIE,Forward,0.0,1.0,0.0
332314,Idrissa Gana GUEYE,Midfielder,0.0,4.0,0.0
332847,Leandro PAREDES,Midfielder,0.0,7.0,0.0
332897,Rodrigo AGUIRRE,Forward,0.0,1.0,0.0
335807,Jean Michael SERI,Midfielder,0.0,1.0,0.0
336098,Memphis DEPAY,Forward,0.0,3.0,0.0
336170,Kaan Ayhan,Midfielder,1.0,1.0,1.0
336425,Cedric BAKAMBU,Forward,0.0,3.0,0.0
336459,Rani Khedira,Midfielder,0.0,3.0,0.0
336472,Andrej KRAMARIC,Forward,0.0,3.0,0.0
336641,Ryan THOMAS,Midfielder,0.0,3.0,0.0
337251,Cecilio Waterman,Forward,0.0,2.0,0.0
339745,SALEM ALDAWSARI,Forward,0.0,3.0,0.0
339987,Mateo KOVACIC,Midfielder,0.0,4.0,0.0
344654,MOHAMED SALAH,Forward,1.0,5.0,0.2
345059,ABDULAZIZ HATEM,Midfielder,0.0,1.0,0.0
353235,Jordan AYEW,Forward,0.0,4.0,0.0
353251,AHMED ALAAELDIN,Forward,0.0,2.0,0.0
353790,Sadio MANE,Forward,0.0,4.0,0.0
354861,KARIM BOUDIAF,Midfielder,0.0,2.0,0.0
355642,RYAN MENDES,Forward,0.0,4.0,0.0
355775,Jackson IRVINE,Midfielder,0.0,4.0,0.0
356189,Jordan HENDERSON,Midfielder,0.0,2.0,0.0
356704,Juan QUINTERO,Midfielder,0.0,4.0,0.0
356731,Raul JIMENEZ,Forward,3.0,4.0,0.75
358003,Vladimir DARIDA,Midfielder,0.0,1.0,0.0
358112,Romelu LUKAKU,Forward,3.0,6.0,0.5
358120,Kevin DE BRUYNE,Midfielder,1.0,5.0,0.2
358241,Marcel SABITZER,Midfielder,1.0,4.0,0.25
359381,Ivan PERISIC,Forward,1.0,4.0,0.25
363863,TREZEGUET,Forward,1.0,4.0,0.25
368545,Jamshid ISKANDEROV,Midfielder,0.0,1.0,0.0
368546,Igor Sergeev,Forward,0.0,3.0,0.0
369089,Thomas PARTEY,Midfielder,0.0,3.0,0.0
369304,Hakan CALHANOGLU,Midfielder,0.0,2.0,0.0
369419,Harry KANE,Forward,6.0,7.0,0.8571428571428571
369530,Jhon CORDOBA,Forward,0.0,3.0,0.0
369761,Miguel ALMIRON,Midfielder,0.0,4.0,0.0
369768,Antonio SANABRIA,Forward,0.0,2.0,0.0
370986,Jonathan OSORIO,Midfielder,0.0,2.0,0.0
371345,Odiljon XAMROBEKOV,Midfielder,0.0,2.0,0.0
371348,Otabek Shukurov,Midfielder,0.0,3.0,0.0
371393,Dostonbek Khamdamov,Midfielder,0.0,2.0,0.0
371609,Franck KESSIE,Midfielder,1.0,4.0,0.25
371736,Saeid EZATOLAHI,Midfielder,0.0,3.0,0.0
372090,Orbelin PINEDA,Midfielder,0.0,2.0,0.0
372266,Sofyan AMRABAT,Midfielder,0.0,3.0,0.0
372342,Ismael DIAZ,Midfielder,0.0,2.0,0.0
